"","num","title","content"
"111",142,"Estp 썸남 공략법","걍 무조건 직진하셈말 돌려하는거 ㅈㄴ 싫음 직진으로 쇼부차면 엣팁들은 귀찮은거 싫어해서 더 좋아함"
"112",143,"estp은 좋아하는 사람 생기면 무슨행동함?","ㅈㄱㄴ얘가 좋다 신경쓰인다 귀엽다 이러면 어떤 행동함? 엣팁 존나 미지의 생명체다 뭔 정보가 이렇게 적냐"
"113",144,"첨보는 애랑 30분안에 친해지기 쌉가능??","난 몰르는 애랑도 ㄱㄴ빨리 친해짐 늬들도 그러니?"
"114",145,"니들 주변에 estp 많냐?","나도 거의 못봤는데 있어도 구라같음 ㅋㅋㅋㅋㅋㅋㅋㅋ 전혀 그런 성격이 아닌데"
"115",146,"난 estp가 나쁘다 생각ㅎㅏ지 않아","우리만 동떨어져 있냐 ㅋㅋ ㅋㅋㅋ"
"116",147,"안데이트 vs 밖데이트","전자( 집이나 룸카페나 그냥 카페, 술집 에 앉아서 도란도란 얘기하거나 룸카페안에 누워서 안은 채로 폰하면서 수다 떨거나 등등 하고 집가기vs후자( 밥 사먹고 카페뿐 아니라 영화, 방탈출, 쇼핑 등등도 하고집가기+ 오늘은 어디서 뭐먹고 뭐하자 코스짜고 만남vs 우선 만나고나서 길거리 돌아다니면서 뭐할지 정함"
"117",150,"Estp식으로 싫어하는 애 조지는 법","뭐가 있니 "
"118",151,"너네 공감안되는 이야기 받아치냐","만난애가 공감안되는 얘기 계속하면왜? 왜그래? 아닌데? 하면서 받아침???"
"119",154,"오늘 엣팁갤 뭔날이었음?","?"
"120",156,"여기 ㅈ목질 금지노?","오픈카톡 링크 금지임??"
"121",157,"엣팁 일진같냐","주변에 엣팁 나밖에없어서 잘모르갰음... 웹툰같은데서 일진같은놈들 엣팁이라나오면 흠 싶음 사실 나도 가해자 소리들어봤단 말이야 근데 아무리 생각해도 왕따 학폭까지 아니었고 내가 왜 그런소리 들어야했는지 이해안감ㅋㅋ 진짜 솔직하게 가끔 애들 찐따처럼 굴때 꼽줬던적밖에없는듯 나한테 가해자소리한 애한테는 별로 그런것도 없였고 그냥 내가 손절쳤는데 친구들이 다 나 따라서 걔 손절친것밖에 없음 아무리 생각해도 일진은 오바같지않긔?"
